CustomerID,Max Products In Basket,Min Products In Basket,Mean Products In Basket
13092,2,1,1.5
13093,11,3,6.333333333333333
13095,2,2,2.0
13097,38,6,19.0
13098,13,1,4.88
13101,3,3,3.0
13102,14,1,6.625
13103,4,4,4.0
13104,6,1,2.25
13107,6,4,5.0
13108,2,2,2.0
13109,14,12,13.0
13110,13,3,7.833333333333333
13113,15,1,4.166666666666667
13115,39,1,18.0
13116,8,8,8.0
13117,14,1,4.75
13118,19,1,8.2
13120,1,1,1.0
13121,37,37,37.0
13122,39,39,39.0
13124,42,31,36.333333333333336
13126,11,1,7.125
13127,9,9,9.0
13130,1,1,1.0
13131,12,7,10.0
13132,2,2,2.0
13133,2,2,2.0
13134,16,15,15.333333333333334
13136,25,2,15.6
13137,82,22,45.0
13138,11,7,8.166666666666666
13139,39,1,11.666666666666666
13140,8,7,7.333333333333333
13141,33,9,18.8
13142,10,10,10.0
13144,2,2,2.0
13145,2,2,2.0
13146,10,10,10.0
13148,25,7,13.1
13149,21,4,10.0
13151,33,33,33.0
13153,4,4,4.0
13155,23,4,11.75
13157,22,6,11.0
13158,18,10,15.0
13159,24,11,15.5
13160,1,1,1.0
13161,3,3,3.0
13162,9,4,6.333333333333333
13165,4,3,3.5
13166,33,33,33.0
13167,8,4,5.75
13168,33,5,13.5
13169,2,2,2.0
13170,7,7,7.0
13171,7,5,6.333333333333333
13173,9,3,6.0
13174,81,29,48.0
13176,19,19,19.0
13177,13,13,13.0
13178,28,5,14.909090909090908
13182,3,3,3.0
13183,15,2,5.428571428571429
13184,12,1,6.444444444444445
13186,27,8,15.0
13187,10,10,10.0
13189,2,2,2.0
13192,17,15,16.0
13193,9,9,9.0
13194,1,1,1.0
13196,33,2,14.5
13198,42,14,23.5
13199,4,1,1.5
13200,9,3,6.333333333333333
13203,10,2,5.0
13207,3,3,3.0
13208,25,6,16.2
13209,81,3,29.714285714285715
13210,17,17,17.0
13211,16,1,8.5
13212,23,2,12.666666666666666
13213,20,1,9.0
13216,1,1,1.0
13218,3,3,3.0
13220,2,1,1.5
13221,13,9,11.0
13223,4,4,4.0
13224,40,25,32.5
13226,10,10,10.0
13227,6,6,6.0
13229,6,6,6.0
13230,33,4,16.0
13232,29,4,12.0
13233,5,3,4.0
13235,40,40,40.0
13236,5,3,4.0
13238,11,3,8.0
13239,12,12,12.0
13240,15,4,9.75
13242,8,2,4.333333333333333
13243,34,34,34.0
13244,9,9,9.0
13245,2,2,2.0
13246,24,6,13.8
13247,6,3,4.333333333333333
13248,13,2,7.5
13249,5,5,5.0
13253,7,1,4.0
13255,3,2,2.5
13258,7,1,4.666666666666667
13259,21,21,21.0
13260,2,2,2.0
13262,5,5,5.0
13263,37,8,21.9375
13265,13,3,6.4
13266,12,1,6.416666666666667
13267,12,2,6.823529411764706
13268,43,13,25.88888888888889
13269,41,2,11.214285714285714
13271,15,15,15.0
13272,2,2,2.0
13273,10,10,10.0
13276,9,1,5.0
13278,23,23,23.0
13279,5,5,5.0
13280,28,7,18.0
13282,9,5,7.0
13283,4,1,2.5
13284,6,6,6.0
13285,45,22,31.5
13291,16,16,16.0
13292,9,7,8.0
13294,16,11,13.5
13295,8,8,8.0
13296,2,2,2.0
13297,16,2,8.0
13299,3,3,3.0
13300,14,14,14.0
13301,15,9,11.75
13304,10,10,10.0
13305,8,1,3.6666666666666665
13307,1,1,1.0
13308,18,6,11.0
13309,19,4,10.4
13310,16,13,15.0
13311,2,1,1.5
13313,14,8,11.4
13314,10,5,7.5
13316,1,1,1.0
13317,27,1,10.666666666666666
13318,5,1,3.0
13319,21,1,10.72
13320,30,11,21.5
13321,3,3,3.0
13322,11,11,11.0
13324,2,1,1.5
13325,3,3,3.0
13327,11,3,7.0
13328,2,2,2.0
13329,3,3,3.0
13330,17,9,11.666666666666666
13332,15,15,15.0
13334,81,39,59.666666666666664
13336,30,30,30.0
13338,9,9,9.0
13339,21,21,21.0
13340,5,3,3.6666666666666665
13341,24,24,24.0
13343,8,8,8.0
13344,43,6,22.333333333333332
13345,15,15,15.0
13348,10,10,10.0
13349,7,7,7.0
13350,14,1,7.5
13351,9,9,9.0
13352,14,14,14.0
13354,31,31,31.0
13355,25,25,25.0
13356,20,20,20.0
13357,45,45,45.0
13358,10,10,10.0
13359,9,9,9.0
13362,29,20,23.0
13363,24,8,16.0
13364,9,9,9.0
13365,53,23,38.0
13368,14,1,7.5
13369,8,8,8.0
13370,24,24,24.0
13372,12,12,12.0
13373,35,23,27.333333333333332
13375,18,18,18.0
13376,14,8,11.333333333333334
13379,15,8,11.666666666666666
13381,18,9,13.833333333333334
13382,12,12,12.0
13384,19,3,8.142857142857142
13385,12,12,12.0
13388,18,3,10.5
13389,8,7,7.666666666666667
13390,8,8,8.0
13394,16,6,10.5
13395,8,8,8.0
13396,12,9,10.5
13397,8,3,4.5
13398,10,10,10.0
13402,10,8,9.0
13403,2,2,2.0
13404,5,2,3.5
13405,9,2,5.5
13408,9,1,3.142857142857143
13410,4,2,3.0
13411,11,11,11.0
13414,8,8,8.0
13417,8,8,8.0
13418,26,1,7.647058823529412
13419,6,6,6.0
13420,2,2,2.0
13421,40,22,31.0
13422,78,78,78.0
13425,13,8,11.0
13426,11,3,5.222222222222222
13427,6,1,4.0
13428,15,15,15.0
13429,14,2,6.25
13430,13,7,10.0
13431,15,2,8.5
13434,2,2,2.0
13435,6,1,3.0
13436,6,6,6.0
13437,33,3,10.857142857142858
13439,33,33,33.0
13441,7,7,7.0
13447,13,5,9.666666666666666
13448,45,1,18.333333333333332
13449,8,8,8.0
13450,11,2,5.0
13451,65,30,52.8
13453,5,4,4.5
13455,16,8,12.0
13456,7,4,4.75
13458,26,6,13.5
13460,2,2,2.0
13461,3,1,2.0
13462,6,6,6.0
13464,24,24,24.0
13466,11,11,11.0
13467,33,9,21.0
13468,11,1,4.257142857142857
13470,7,3,5.0
13471,67,3,33.25
13473,3,1,2.0
13474,25,25,25.0
13475,19,6,13.75
13476,13,12,12.5
13477,14,2,6.0
13479,2,1,1.5
13481,25,1,14.0
13482,7,7,7.0
13483,6,6,6.0
13485,16,16,16.0
13486,22,12,15.666666666666666
13487,8,3,5.333333333333333
13488,41,5,17.692307692307693
13489,5,3,4.0
13491,7,1,3.7777777777777777
13492,11,3,6.333333333333333
13494,7,7,7.0
13495,7,1,3.8
13496,16,8,12.0
13497,8,5,6.5
13499,6,2,4.333333333333333
13500,12,8,10.333333333333334
13501,23,23,23.0
13502,3,2,2.6666666666666665
13503,6,6,6.0
13504,8,8,8.0
13505,46,13,29.25
13506,9,6,7.5
13507,44,5,19.5
13508,5,5,5.0
13509,3,1,1.5
13510,21,10,15.5
13512,4,4,4.0
13513,6,6,6.0
13514,2,2,2.0
13515,21,5,10.5
13516,19,4,11.5
13517,48,14,25.666666666666668
13518,27,27,27.0
13519,1,1,1.0
13520,13,4,7.25
13521,39,19,30.666666666666668
13522,3,3,3.0
13523,22,3,13.0
13524,7,1,3.4
13525,2,2,2.0
13527,31,1,15.833333333333334
13529,2,1,1.5
13531,8,3,5.5
13532,10,10,10.0
13533,20,1,11.333333333333334
13534,16,1,8.909090909090908
13536,21,4,10.142857142857142
13539,8,3,6.0
13544,6,1,3.5
13546,20,17,18.333333333333332
13548,24,18,21.0
13549,9,2,5.0
13552,7,1,4.375
13555,12,6,9.0
13557,11,5,8.0
13558,22,10,14.5
13560,15,15,15.0
13562,17,8,14.0
13563,8,1,4.5
13564,22,13,17.5
13565,20,8,14.0
13566,55,31,43.0
13568,14,14,14.0
13569,12,7,9.5
13570,9,9,9.0
13571,29,10,18.333333333333332
13572,12,12,12.0
13573,8,2,5.0
13575,12,4,7.4
13576,7,1,3.3
13577,18,10,14.0
13579,5,3,4.0
13581,4,4,4.0
13583,26,26,26.0
13584,4,4,4.0
13587,3,3,3.0
13588,16,4,8.75
13589,4,3,3.5
13590,13,6,8.666666666666666
13591,14,5,10.333333333333334
13592,4,1,2.3333333333333335
13593,16,11,14.0
13594,9,9,9.0
13596,22,13,17.5
13598,5,5,5.0
13599,26,1,6.055555555555555
13600,5,5,5.0
13601,29,24,26.5
13602,16,16,16.0
13603,4,4,4.0
13606,10,1,5.5
13607,40,40,40.0
13610,16,8,11.428571428571429
13611,16,6,11.333333333333334
13614,32,5,21.666666666666668
13615,13,13,13.0
13617,11,8,9.333333333333334
13618,4,4,4.0
13621,11,11,11.0
13623,7,1,3.75
13626,13,13,13.0
13627,10,1,7.8
13629,5,5,5.0
13630,16,1,5.8
13632,27,10,15.2
13634,19,10,16.2
13635,37,37,37.0
13636,11,3,6.4
13637,35,7,22.0
13638,5,5,5.0
13639,20,20,20.0
13642,10,10,10.0
13643,11,6,7.666666666666667
13644,27,7,16.25
13645,1,1,1.0
13647,19,6,12.0
13649,9,6,7.5
13650,18,9,12.0
13651,3,3,3.0
13652,14,9,11.666666666666666
13654,29,14,18.8
13655,17,7,12.0
13656,22,8,15.0
13657,7,3,5.0
13658,29,3,13.8
13659,34,22,28.0
13662,11,5,8.333333333333334
13663,5,5,5.0
13666,2,2,2.0
13667,15,15,15.0
13668,28,5,13.380952380952381
13669,2,2,2.0
13670,8,8,8.0
13672,1,1,1.0
13673,11,9,10.0
13675,8,6,7.0
13680,45,5,29.0
13681,12,8,10.25
13684,5,5,5.0
13686,8,8,8.0
13689,1,1,1.0
13690,2,2,2.0
13692,3,1,2.0
13694,4,1,1.8333333333333333
13695,10,1,3.769230769230769
13697,6,6,6.0
13699,3,3,3.0
13700,27,1,9.444444444444445
13704,12,2,6.75
13705,7,3,5.333333333333333
13706,12,12,12.0
13707,13,11,12.0
13708,21,21,21.0
13709,24,2,14.090909090909092
13710,4,4,4.0
13711,1,1,1.0
13712,6,6,6.0
13715,40,7,20.25
13716,13,13,13.0
13717,12,1,5.0
13718,2,2,2.0
13719,12,3,7.6
13720,10,4,8.0
13721,13,13,13.0
13722,22,1,13.666666666666666
13725,13,2,8.0
13726,12,5,8.5
13727,8,5,6.5
13728,6,1,2.8
13730,10,7,8.5
13731,12,11,11.5
13732,15,15,15.0
13735,29,9,23.5
13736,28,27,27.5
13737,12,12,12.0
13740,8,8,8.0
13741,6,4,5.0
13742,23,1,10.88888888888889
13743,2,1,1.3333333333333333
13744,12,2,7.0
13745,4,4,4.0
13748,6,2,3.6666666666666665
13750,3,2,2.5
13751,4,4,4.0
13752,11,2,6.2
13753,24,24,24.0
13754,6,1,3.5
13755,24,2,10.375
13756,7,1,3.6153846153846154
13758,24,3,8.857142857142858
13759,14,14,14.0
13760,13,12,12.5
13761,20,17,18.5
13762,1,1,1.0
13764,52,28,38.0
13767,9,1,4.909090909090909
13769,14,1,8.1
13771,35,5,17.5
13772,36,11,27.666666666666668
13774,13,13,13.0
13777,5,1,2.7777777777777777
13778,4,4,4.0
13780,23,5,14.0
13781,10,10,10.0
13782,19,3,10.166666666666666
13784,1,1,1.0
13786,2,2,2.0
13787,10,6,8.0
13790,7,7,7.0
13792,6,3,4.5
13798,2,1,1.3333333333333333
13799,22,12,17.0
13800,24,24,24.0
13801,13,13,13.0
13802,6,4,5.0
13803,12,12,12.0
13804,22,1,9.571428571428571
13806,3,3,3.0
13807,3,3,3.0
13808,17,5,8.8
13809,4,4,4.0
13810,13,6,9.5
13812,14,3,7.333333333333333
13813,10,5,6.75
13814,17,7,12.0
13815,43,16,33.333333333333336
13816,11,5,8.0
13817,9,8,8.5
13819,5,4,4.5
13821,22,7,14.5
13822,46,2,24.0
13823,8,7,7.5
13824,8,3,5.0
13826,3,3,3.0
13827,5,2,3.6666666666666665
13828,9,9,9.0
13831,23,1,8.666666666666666
13832,3,3,3.0
13833,9,9,9.0
13835,16,3,9.0
13837,5,3,4.0
13838,12,5,7.5
13842,23,6,10.88888888888889
13844,17,17,17.0
13845,4,4,4.0
13846,18,5,11.333333333333334
13849,37,27,32.0
13850,68,68,68.0
13851,21,2,12.333333333333334
13853,10,10,10.0
13854,3,1,1.25
13856,6,1,3.0
13858,6,6,6.0
13859,15,15,15.0
13860,17,1,9.4
13862,23,2,12.625
13863,12,12,12.0
13865,5,4,4.5
13866,3,3,3.0
13867,18,2,8.666666666666666
13868,13,13,13.0
13869,90,11,42.0
13870,14,1,6.375
13871,21,2,13.153846153846153
13873,4,1,2.3333333333333335
13874,8,8,8.0
13875,20,6,14.2
13876,3,3,3.0
13877,1,1,1.0
13878,9,9,9.0
13880,18,2,7.846153846153846
13881,13,1,7.25
13882,4,1,2.75
13883,24,2,14.8
13884,20,1,8.75
13885,13,1,7.0
13886,8,8,8.0
13887,7,7,7.0
13888,12,8,10.0
13889,3,3,3.0
13890,12,2,5.9
13892,8,8,8.0
13893,2,2,2.0
13894,9,6,7.5
13895,22,9,16.5
13897,9,9,9.0
13898,7,7,7.0
13899,13,3,8.0
13900,12,9,10.5
13901,46,3,13.8
13904,9,7,8.0
13908,32,9,18.75
13911,19,2,9.625
13914,12,8,10.0
13917,7,3,5.0
13918,13,5,9.0
13919,8,1,4.5
13922,1,1,1.0
13923,9,9,9.0
13924,22,1,8.666666666666666
13925,11,1,4.666666666666667
13926,6,6,6.0
13927,9,9,9.0
13928,6,1,3.0
13929,2,2,2.0
13930,6,2,4.0
13931,23,16,19.5
13932,9,9,9.0
13933,9,4,6.5
13934,16,16,16.0
13936,15,15,15.0
13937,5,5,5.0
13938,4,4,4.0
13939,6,5,5.666666666666667
13940,8,5,6.25
13941,3,1,2.2
13946,1,1,1.0
13947,4,4,4.0
13948,1,1,1.0
13949,16,6,11.333333333333334
13950,6,2,4.5
13951,13,2,7.666666666666667
13952,43,24,33.5
13953,2,2,2.0
13954,7,5,6.0
13955,8,5,6.5
13956,24,5,10.8
13959,13,8,10.0
13960,6,3,4.5
13962,3,1,2.0
13963,6,3,4.666666666666667
13969,59,2,21.470588235294116
13971,20,7,11.75
13972,6,6,6.0
13973,6,6,6.0
13974,19,19,19.0
13975,85,4,31.5
13976,3,3,3.0
13978,4,4,4.0
13979,35,35,35.0
13980,2,2,2.0
13982,20,13,17.5
13983,24,1,8.5
13984,3,1,2.0
13985,25,3,16.6
13986,7,7,7.0
13988,31,10,17.666666666666668
13989,8,7,7.5
13990,8,8,8.0
13991,11,1,5.333333333333333
13992,3,3,3.0
13993,11,3,6.571428571428571
13994,25,3,13.6
13995,16,8,11.6
13999,17,8,11.833333333333334
14000,5,5,5.0
14001,5,3,4.333333333333333
14002,5,2,3.5
14004,23,4,12.857142857142858
14005,9,3,5.5
14006,9,1,5.666666666666667
14009,19,7,13.0
14012,2,2,2.0
14013,9,8,8.333333333333334
14014,4,4,4.0
14015,10,10,10.0
14016,26,13,18.5
14019,21,10,14.0
14020,11,10,10.5
14021,8,2,5.0
14022,15,15,15.0
14023,9,8,8.5
14024,9,9,9.0
14027,5,5,5.0
14029,2,2,2.0
14030,26,4,13.571428571428571
14031,14,1,6.090909090909091
14032,13,1,7.8
14034,13,2,7.666666666666667
14035,15,4,8.25
14036,16,16,16.0
14037,6,2,4.0
14038,37,19,25.333333333333332
14039,4,4,4.0
14040,19,1,6.666666666666667
14041,7,7,7.0
14044,12,3,9.5
14046,1,1,1.0
14047,6,1,3.3333333333333335
14048,44,44,44.0
14049,101,15,64.0
14050,22,9,15.5
14051,7,1,3.1176470588235294
14052,5,5,5.0
14053,1,1,1.0
14054,5,5,5.0
14055,4,4,4.0
14056,59,1,22.08695652173913
14057,40,2,10.153846153846153
14059,5,5,5.0
14060,8,1,3.8
14062,4,2,2.8
14064,12,3,7.6
14066,5,5,5.0
